iter	Passed	Remaining
0	3	666
1	6	652
2	9	650
3	13	664
4	17	668
5	20	654
6	23	649
7	26	625
8	28	612
9	31	595
10	33	583
11	36	571
12	38	560
13	41	552
14	44	543
15	46	539
16	49	531
17	52	527
18	54	520
19	57	514
20	59	510
21	62	504
22	64	499
23	67	494
24	70	491
25	72	485
26	75	482
27	78	479
28	80	476
29	83	472
30	85	468
31	88	464
32	91	461
33	94	459
34	97	457
35	99	454
36	102	451
37	105	448
38	107	444
39	110	441
40	113	438
41	115	435
42	118	432
43	120	428
44	123	424
45	125	421
46	128	418
47	131	414
48	133	411
49	135	407
50	138	405
51	141	402
52	143	398
53	146	395
54	148	391
55	151	388
56	153	385
57	156	382
58	158	379
59	161	376
60	163	373
61	164	366
62	167	363
63	169	360
64	170	354
65	173	351
66	175	348
67	177	345
68	180	342
69	182	339
70	185	337
71	188	334
72	190	331
73	193	329
74	196	326
75	199	324
76	201	322
77	204	319
78	206	316
79	209	314
80	212	311
81	214	309
82	217	306
83	219	303
84	222	300
85	224	297
86	227	295
87	230	293
88	232	290
89	235	287
90	238	285
91	240	282
92	243	280
93	246	277
94	248	274
95	251	272
96	253	269
97	256	266
98	258	263
99	261	261
100	263	258
101	265	255
102	268	252
103	270	250
104	274	248
105	276	245
106	279	242
107	281	240
108	284	237
109	286	234
110	289	232
111	292	229
112	294	226
113	297	224
114	299	221
115	302	219
116	305	216
117	308	214
118	310	211
119	314	209
120	316	206
121	319	204
122	321	201
123	324	198
124	326	196
125	329	193
126	331	190
127	334	188
128	337	185
129	339	182
130	342	180
131	344	177
132	347	174
133	349	172
134	352	169
135	354	166
136	357	164
137	359	161
138	362	158
139	365	156
140	367	153
141	370	151
142	372	148
143	375	145
144	377	143
145	380	140
146	383	138
147	386	135
148	388	133
149	391	130
150	394	127
151	396	125
152	399	122
153	402	120
154	404	117
155	407	114
156	409	112
157	412	109
158	415	107
159	417	104
160	420	101
161	422	99
162	425	96
163	427	93
164	430	91
165	432	88
166	435	85
167	437	83
168	440	80
169	442	78
170	445	75
171	447	72
172	449	70
173	452	67
174	455	65
175	457	62
176	459	59
177	462	57
178	465	54
179	467	51
180	470	49
181	473	46
182	475	44
183	478	41
184	480	38
185	483	36
186	486	33
187	488	31
188	491	28
189	493	25
190	496	23
191	499	20
192	501	18
193	503	15
194	506	12
195	508	10
196	510	7
197	513	5
198	515	2
199	518	0
